,date,name,point
0,2017-05-01,히든 피겨스,9.38
1,2017-05-01,사운드 오브 뮤직,9.36
2,2017-05-01,시네마 천국,9.29
3,2017-05-01,미스 슬로운,9.26
4,2017-05-01,잉여들의 히치하이킹,9.25
5,2017-05-01,"나, 다니엘 블레이크",9.25
6,2017-05-01,바람과 함께 사라지다,9.24
7,2017-05-01,오즈의 마법사,9.23
8,2017-05-01,벤허,9.22
9,2017-05-01,흑집사 : 북 오브 더 아틀란틱,9.20
10,2017-05-01,우리들,9.18
11,2017-05-01,일 포스티노,9.17
12,2017-05-01,댄서,9.14
13,2017-05-01,라이언,9.07
14,2017-05-01,코알라,9.07
15,2017-05-01,로건,9.06
16,2017-05-01,더 플랜,9.04
17,2017-05-01,분노의 질주: 더 익스트림,9.02
18,2017-05-01,시카고,8.92
19,2017-05-01,10분,8.89
20,2017-05-01,해리가 샐리를 만났을 때,8.89
21,2017-05-01,미녀와 야수,8.85
22,2017-05-01,너의 이름은.,8.81
23,2017-05-01,그랑블루,8.78
24,2017-05-01,한공주,8.78
25,2017-05-01,연애담,8.76
26,2017-05-01,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,8.75
27,2017-05-01,리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,8.73
28,2017-05-01,분노,8.73
29,2017-05-01,맨체스터 바이 더 씨,8.72
30,2017-05-01,행복 목욕탕,8.70
31,2017-05-01,스머프: 비밀의 숲,8.67
32,2017-05-01,부당거래,8.66
33,2017-05-01,파닥파닥,8.65
34,2017-05-01,아비정전,8.59
35,2017-05-01,패션 오브 크라이스트,8.59
36,2017-05-01,라라랜드,8.59
37,2017-05-01,뽀로로 극장판 슈퍼썰매 대모험,8.56
38,2017-05-01,족구왕,8.56
39,2017-05-01,가디언즈 오브 갤럭시,8.56
40,2017-05-01,자전거 탄 소년,8.54
41,2017-05-01,오두막,8.48
42,2017-05-01,성실한 나라의 앨리스,8.39
43,2017-05-01,원라인,8.29
44,2017-05-01,존 윅 - 리로드,8.28
45,2017-05-01,사일런스,8.26
46,2017-05-01,클로저,8.20
47,2017-05-01,임금님의 사건수첩,8.17
48,2017-05-01,문라이트,8.12
49,2017-05-01,로미오와 줄리엣,8.10
50,2017-05-02,히든 피겨스,9.37
51,2017-05-02,사운드 오브 뮤직,9.36
52,2017-05-02,시네마 천국,9.29
53,2017-05-02,미스 슬로운,9.26
54,2017-05-02,잉여들의 히치하이킹,9.25
55,2017-05-02,"나, 다니엘 블레이크",9.25
56,2017-05-02,바람과 함께 사라지다,9.24
57,2017-05-02,오즈의 마법사,9.23
58,2017-05-02,벤허,9.22
59,2017-05-02,흑집사 : 북 오브 더 아틀란틱,9.21
60,2017-05-02,우리들,9.18
61,2017-05-02,일 포스티노,9.17
62,2017-05-02,댄서,9.11
63,2017-05-02,라이언,9.07
64,2017-05-02,코알라,9.07
65,2017-05-02,더 플랜,9.05
66,2017-05-02,분노의 질주: 더 익스트림,9.02
67,2017-05-02,시카고,8.92
68,2017-05-02,10분,8.89
69,2017-05-02,해리가 샐리를 만났을 때,8.89
70,2017-05-02,미녀와 야수,8.84
71,2017-05-02,너의 이름은.,8.81
72,2017-05-02,"메밀꽃, 운수 좋은 날, 그리고 봄봄",8.78
73,2017-05-02,그랑블루,8.78
74,2017-05-02,한공주,8.78
75,2017-05-02,연애담,8.76
76,2017-05-02,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,8.75
77,2017-05-02,분노,8.73
